REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 D:\Github\Denoise\AutoTesting\Speech/A11_104.wav	 ./Speech_Noise/20/A11_104_85.wav	 SQValue=3.324	 3.324	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_105.wav	 ./Speech_Noise/20/A11_105.wav	 SQValue=3.072	 3.072	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_105.wav	 ./Speech_Noise/20/A11_105_K.wav	 SQValue=2.575	 2.575	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_105.wav	 ./Speech_Noise/20/A11_105_84.wav	 SQValue=3.349	 3.349	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_105.wav	 ./Speech_Noise/20/A11_105_85.wav	 SQValue=3.459	 3.459	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_106.wav	 ./Speech_Noise/20/A11_106.wav	 SQValue=3.096	 3.096	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_106.wav	 ./Speech_Noise/20/A11_106_K.wav	 SQValue=2.332	 2.332	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_106.wav	 ./Speech_Noise/20/A11_106_84.wav	 SQValue=3.529	 3.529	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_106.wav	 ./Speech_Noise/20/A11_106_85.wav	 SQValue=3.601	 3.601	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_107.wav	 ./Speech_Noise/20/A11_107.wav	 SQValue=2.984	 2.984	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_107.wav	 ./Speech_Noise/20/A11_107_K.wav	 SQValue=2.191	 2.191	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_107.wav	 ./Speech_Noise/20/A11_107_84.wav	 SQValue=3.338	 3.338	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_107.wav	 ./Speech_Noise/20/A11_107_85.wav	 SQValue=3.344	 3.344	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_108.wav	 ./Speech_Noise/20/A11_108.wav	 SQValue=3.034	 3.034	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_108.wav	 ./Speech_Noise/20/A11_108_K.wav	 SQValue=2.390	 2.390	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_108.wav	 ./Speech_Noise/20/A11_108_84.wav	 SQValue=3.509	 3.509	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_108.wav	 ./Speech_Noise/20/A11_108_85.wav	 SQValue=3.520	 3.520	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_109.wav	 ./Speech_Noise/20/A11_109.wav	 SQValue=3.142	 3.142	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_109.wav	 ./Speech_Noise/20/A11_109_K.wav	 SQValue=2.501	 2.501	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_109.wav	 ./Speech_Noise/20/A11_109_84.wav	 SQValue=3.525	 3.525	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_109.wav	 ./Speech_Noise/20/A11_109_85.wav	 SQValue=3.628	 3.628	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_11.wav	 ./Speech_Noise/20/A11_11.wav	 SQValue=3.037	 3.037	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_11.wav	 ./Speech_Noise/20/A11_11_K.wav	 SQValue=2.587	 2.587	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_11.wav	 ./Speech_Noise/20/A11_11_84.wav	 SQValue=3.442	 3.442	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_11.wav	 ./Speech_Noise/20/A11_11_85.wav	 SQValue=3.506	 3.506	 0.000	 0	 16000	0.0000
